City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
284,paita,-5.0892,-81.1144,21.18,76,92,3.31,PE,1673929866
285,kyra,49.5776,111.9753,-16.46,75,42,2.02,RU,1673929868
286,okha,53.5739,142.9478,-30.76,88,8,3.92,RU,1673929869
287,coari,-4.085,-63.1414,22.51,98,100,1.19,BR,1673929871
288,caravelas,-17.7125,-39.2481,23.11,91,3,1.99,BR,1673929873
289,sambava,-14.2667,50.1667,25.01,80,96,3.23,MG,1673929874
290,rawson,-43.3002,-65.1023,17.04,70,100,3.74,AR,1673929875
291,vrangel,42.7297,133.0839,-6.93,37,2,1.73,RU,1673929877
292,palmas,-10.2128,-48.3603,24.93,94,75,1.03,BR,1673929878
293,crowley,30.2141,-92.3746,20.1,90,100,4.62,US,1673929879
294,riyadh,24.6877,46.7219,15.08,69,72,2.66,SA,1673929632
295,lompoc,34.6391,-120.4579,8.66,93,40,5.66,US,1673929800
296,touba,8.2833,-7.6833,19.75,21,5,0.77,CI,1673929883
297,kloulklubed,7.0419,134.2556,26.28,70,57,1.44,PW,1673929885
298,hohhot,40.8106,111.6522,-9.84,57,8,2.0,CN,1673929822
299,pisco,-13.7,-76.2167,21.12,78,0,0.0,PE,1673929887
300,baffa,34.4378,73.2194,8.94,23,0,0.67,PK,1673929889
301,provideniya,64.3833,-173.3,-15.94,51,75,14.0,RU,1673929890
302,vanderhoof,54.0166,-124.0198,-0.87,98,100,1.08,CA,1673929891
303,livingstone,-17.8419,25.8543,19.04,96,99,2.49,ZM,1673929893
304,port-gentil,-0.7193,8.7815,26.94,77,100,2.89,GA,1673929894
305,cedar city,37.6775,-113.0619,2.54,65,75,9.26,US,1673929875
306,purral,9.9581,-84.0305,18.27,86,0,4.12,CR,1673929896
307,chiang klang,19.2938,100.8617,29.14,39,23,1.95,TH,1673929898
308,santo tomas,14.1079,121.1414,29.14,74,95,5.82,PH,1673929899
309,lata,40.1629,-8.3327,13.78,90,100,6.57,PT,1673929900
310,ribas do rio pardo,-20.4431,-53.7592,22.82,87,99,0.87,BR,1673929901
311,alta floresta,-9.8756,-56.0861,20.91,96,100,0.3,BR,1673929905
312,alekseyevsk,57.8406,108.3492,-21.49,94,100,2.03,RU,1673929906
313,boa vista,2.8197,-60.6733,24.99,78,40,4.63,BR,1673929908
314,san julian,21.0167,-102.1667,11.43,26,99,2.34,MX,1673929909
315,rio cuarto,-33.1307,-64.3499,22.95,60,0,1.54,AR,1673929808
316,maturin,9.75,-63.1767,22.91,100,1,2.06,VE,1673929782
317,gushikawa,26.3544,127.8686,18.77,59,100,5.66,JP,1673929914
318,nantucket,41.2835,-70.0995,2.03,82,100,6.69,US,1673929905
319,itarema,-2.9248,-39.9167,23.31,91,100,1.63,BR,1673929916
320,saint-pierre,-21.3393,55.4781,28.28,69,75,9.77,RE,1673929917
321,verkh-usugli,52.7,115.1667,-19.7,63,11,1.06,RU,1673929918
322,dumas,35.8656,-101.9732,8.63,49,0,8.75,US,1673929920
323,villazon,-22.0866,-65.5942,9.65,69,95,2.17,BO,1673929921
324,maraba,-5.3686,-49.1178,24.1,100,0,0.0,BR,1673929922
325,liverpool,53.4106,-2.9779,0.72,93,40,1.54,GB,1673929924
326,mahon,39.8885,4.2658,15.31,67,20,10.8,ES,1673929925
327,pinega,64.7001,43.3936,-4.19,91,100,5.92,RU,1673929927
